latitude;longitude;altitude;c3;c4;c5;c6;kmDone;kmToGo
45.000000;6.000000;250;0;0;0;0;0.00;160.00
44.999880;6.000075;250;0;0;0;0;0.03;159.97
44.999760;6.000150;250;0;0;0;0;0.06;159.94
44.999640;6.000225;251;0;0;0;0;0.09;159.91
44.999520;6.000300;251;0;0;0;0;0.12;159.88
44.999400;6.000375;251;0;0;0;0;0.15;159.85
44.999280;6.000450;251;0;0;0;0;0.18;159.82
44.999160;6.000525;251;0;0;0;0;0.21;159.79
44.999040;6.000600;252;0;0;0;0;0.24;159.76
44.998920;6.000675;252;0;0;0;0;0.27;159.73
44.998800;6.000750;252;0;0;0;0;0.30;159.70
44.998680;6.000825;252;0;0;0;0;0.33;159.67
44.998560;6.000900;252;0;0;0;0;0.36;159.64
44.998440;6.000975;253;0;0;0;0;0.39;159.61
44.998320;6.001050;253;0;0;0;0;0.42;159.58
44.998200;6.001125;253;0;0;0;0;0.45;159.55
44.998080;6.001200;253;0;0;0;0;0.48;159.52
44.997960;6.001275;253;0;0;0;0;0.51;159.49
44.997840;6.001350;254;0;0;0;0;0.54;159.46
44.997720;6.001425;254;0;0;0;0;0.57;159.43
44.997600;6.001500;254;0;0;0;0;0.60;159.40
44.997480;6.001575;254;0;0;0;0;0.63;159.37
44.997360;6.001650;254;0;0;0;0;0.66;159.34
44.997240;6.001725;255;0;0;0;0;0.69;159.31
44.997120;6.001800;255;0;0;0;0;0.72;159.28
44.997000;6.001875;255;0;0;0;0;0.75;159.25
44.996880;6.001950;255;0;0;0;0;0.78;159.22
44.996760;6.002025;255;0;0;0;0;0.81;159.19
44.996640;6.002100;256;0;0;0;0;0.84;159.16
44.996520;6.002175;256;0;0;0;0;0.87;159.13
44.996400;6.002250;256;0;0;0;0;0.90;159.10
44.996280;6.002325;256;0;0;0;0;0.93;159.07
44.996160;6.002400;256;0;0;0;0;0.96;159.04
44.996040;6.002475;257;0;0;0;0;0.99;159.01
44.995920;6.002550;257;0;0;0;0;1.02;158.98
44.995800;6.002625;257;0;0;0;0;1.05;158.95
44.995680;6.002700;257;0;0;0;0;1.08;158.92
44.995560;6.002775;257;0;0;0;0;1.11;158.89
44.995440;6.002850;258;0;0;0;0;1.14;158.86
44.995320;6.002925;258;0;0;0;0;1.17;158.83
44.995200;6.003000;258;0;0;0;0;1.20;158.80
44.995080;6.003075;258;0;0;0;0;1.23;158.77
44.994960;6.003150;258;0;0;0;0;1.26;158.74
44.994840;6.003225;259;0;0;0;0;1.29;158.71
44.994720;6.003300;259;0;0;0;0;1.32;158.68
44.994600;6.003375;259;0;0;0;0;1.35;158.65
44.994480;6.003450;259;0;0;0;0;1.38;158.62
44.994360;6.003525;259;0;0;0;0;1.41;158.59
44.994240;6.003600;260;0;0;0;0;1.44;158.56
44.994120;6.003675;260;0;0;0;0;1.47;158.53
44.994000;6.003750;260;0;0;0;0;1.50;158.50
44.993880;6.003825;260;0;0;0;0;1.53;158.47
44.993760;6.003900;260;0;0;0;0;1.56;158.44
44.993640;6.003975;261;0;0;0;0;1.59;158.41
44.993520;6.004050;261;0;0;0;0;1.62;158.38
44.993400;6.004125;261;0;0;0;0;1.65;158.35
44.993280;6.004200;261;0;0;0;0;1.68;158.32
44.993160;6.004275;261;0;0;0;0;1.71;158.29
44.993040;6.004350;262;0;0;0;0;1.74;158.26
44.992920;6.004425;262;0;0;0;0;1.77;158.23
44.992800;6.004500;262;0;0;0;0;1.80;158.20
44.992680;6.004575;262;0;0;0;0;1.83;158.17
44.992560;6.004650;262;0;0;0;0;1.86;158.14
44.992440;6.004725;263;0;0;0;0;1.89;158.11
44.992320;6.004800;263;0;0;0;0;1.92;158.08
44.992200;6.004875;263;0;0;0;0;1.95;158.05
44.992080;6.004950;263;0;0;0;0;1.98;158.02
44.991960;6.005025;263;0;0;0;0;2.01;157.99
44.991840;6.005100;263;0;0;0;0;2.04;157.96
44.991720;6.005175;264;0;0;0;0;2.07;157.93
44.991600;6.005250;264;0;0;0;0;2.10;157.90
44.991480;6.005325;264;0;0;0;0;2.13;157.87
44.991360;6.005400;264;0;0;0;0;2.16;157.84
44.991240;6.005475;264;0;0;0;0;2.19;157.81
44.991120;6.005550;265;0;0;0;0;2.22;157.78
44.991000;6.005625;265;0;0;0;0;2.25;157.75
44.990880;6.005700;265;0;0;0;0;2.28;157.72
44.990760;6.005775;265;0;0;0;0;2.31;157.69
44.990640;6.005850;265;0;0;0;0;2.34;157.66
44.990520;6.005925;266;0;0;0;0;2.37;157.63
44.990400;6.006000;266;0;0;0;0;2.40;157.60
44.990280;6.006075;266;0;0;0;0;2.43;157.57
44.990160;6.006150;266;0;0;0;0;2.46;157.54
44.990040;6.006225;266;0;0;0;0;2.49;157.51
44.989920;6.006300;267;0;0;0;0;2.52;157.48
44.989800;6.006375;267;0;0;0;0;2.55;157.45
44.989680;6.006450;267;0;0;0;0;2.58;157.42
44.989560;6.006525;267;0;0;0;0;2.61;157.39
44.989440;6.006600;267;0;0;0;0;2.64;157.36
44.989320;6.006675;268;0;0;0;0;2.67;157.33
44.989200;6.006750;268;0;0;0;0;2.70;157.30
44.989080;6.006825;268;0;0;0;0;2.73;157.27
44.988960;6.006900;268;0;0;0;0;2.76;157.24
44.988840;6.006975;268;0;0;0;0;2.79;157.21
44.988720;6.007050;268;0;0;0;0;2.82;157.18
44.988600;6.007125;269;0;0;0;0;2.85;157.15
44.988480;6.007200;269;0;0;0;0;2.88;157.12
44.988360;6.007275;269;0;0;0;0;2.91;157.09
44.988240;6.007350;269;0;0;0;0;2.94;157.06
44.988120;6.007425;269;0;0;0;0;2.97;157.03
44.988000;6.007500;270;0;0;0;0;3.00;157.00
44.987880;6.007575;270;0;0;0;0;3.03;156.97
44.987760;6.007650;270;0;0;0;0;3.06;156.94
44.987640;6.007725;270;0;0;0;0;3.09;156.91
44.987520;6.007800;270;0;0;0;0;3.12;156.88
44.987400;6.007875;271;0;0;0;0;3.15;156.85
44.987280;6.007950;271;0;0;0;0;3.18;156.82
44.987160;6.008025;271;0;0;0;0;3.21;156.79
44.987040;6.008100;271;0;0;0;0;3.24;156.76
44.986920;6.008175;271;0;0;0;0;3.27;156.73
44.986800;6.008250;272;0;0;0;0;3.30;156.70
44.986680;6.008325;272;0;0;0;0;3.33;156.67
44.986560;6.008400;272;0;0;0;0;3.36;156.64
44.986440;6.008475;272;0;0;0;0;3.39;156.61
44.986320;6.008550;272;0;0;0;0;3.42;156.58
44.986200;6.008625;272;0;0;0;0;3.45;156.55
44.986080;6.008700;273;0;0;0;0;3.48;156.52
44.985960;6.008775;273;0;0;0;0;3.51;156.49
44.985840;6.008850;273;0;0;0;0;3.54;156.46
44.985720;6.008925;273;0;0;0;0;3.57;156.43
44.985600;6.009000;273;0;0;0;0;3.60;156.40
44.985480;6.009075;274;0;0;0;0;3.63;156.37
44.985360;6.009150;274;0;0;0;0;3.66;156.34
44.985240;6.009225;274;0;0;0;0;3.69;156.31
44.985120;6.009300;274;0;0;0;0;3.72;156.28
44.985000;6.009375;274;0;0;0;0;3.75;156.25
44.984880;6.009450;274;0;0;0;0;3.78;156.22
44.984760;6.009525;275;0;0;0;0;3.81;156.19
44.984640;6.009600;275;0;0;0;0;3.84;156.16
44.984520;6.009675;275;0;0;0;0;3.87;156.13
44.984400;6.009750;275;0;0;0;0;3.90;156.10
44.984280;6.009825;275;0;0;0;0;3.93;156.07
44.984160;6.009900;276;0;0;0;0;3.96;156.04
44.984040;6.009975;276;0;0;0;0;3.99;156.01
44.983920;6.010050;276;0;0;0;0;4.02;155.98
44.983800;6.010125;276;0;0;0;0;4.05;155.95
44.983680;6.010200;276;0;0;0;0;4.08;155.92
44.983560;6.010275;276;0;0;0;0;4.11;155.89
44.983440;6.010350;277;0;0;0;0;4.14;155.86
44.983320;6.010425;277;0;0;0;0;4.17;155.83
44.983200;6.010500;277;0;0;0;0;4.20;155.80
44.983080;6.010575;277;0;0;0;0;4.23;155.77
44.982960;6.010650;277;0;0;0;0;4.26;155.74
44.982840;6.010725;278;0;0;0;0;4.29;155.71
44.982720;6.010800;278;0;0;0;0;4.32;155.68
44.982600;6.010875;278;0;0;0;0;4.35;155.65
44.982480;6.010950;278;0;0;0;0;4.38;155.62
44.982360;6.011025;278;0;0;0;0;4.41;155.59
44.982240;6.011100;278;0;0;0;0;4.44;155.56
44.982120;6.011175;279;0;0;0;0;4.47;155.53
44.982000;6.011250;279;0;0;0;0;4.50;155.50
44.981880;6.011325;279;0;0;0;0;4.53;155.47
44.981760;6.011400;279;0;0;0;0;4.56;155.44
44.981640;6.011475;279;0;0;0;0;4.59;155.41
44.981520;6.011550;279;0;0;0;0;4.62;155.38
44.981400;6.011625;280;0;0;0;0;4.65;155.35
44.981280;6.011700;280;0;0;0;0;4.68;155.32
44.981160;6.011775;280;0;0;0;0;4.71;155.29
44.981040;6.011850;280;0;0;0;0;4.74;155.26
44.980920;6.011925;280;0;0;0;0;4.77;155.23
44.980800;6.012000;281;0;0;0;0;4.80;155.20
44.980680;6.012075;281;0;0;0;0;4.83;155.17
44.980560;6.012150;281;0;0;0;0;4.86;155.14
44.980440;6.012225;281;0;0;0;0;4.89;155.11
44.980320;6.012300;281;0;0;0;0;4.92;155.08
44.980200;6.012375;281;0;0;0;0;4.95;155.05
44.980080;6.012450;282;0;0;0;0;4.98;155.02
44.979960;6.012525;282;0;0;0;0;5.01;154.99
44.979840;6.012600;282;0;0;0;0;5.04;154.96
44.979720;6.012675;282;0;0;0;0;5.07;154.93
44.979600;6.012750;282;0;0;0;0;5.10;154.90
44.979480;6.012825;282;0;0;0;0;5.13;154.87
44.979360;6.012900;283;0;0;0;0;5.16;154.84
44.979240;6.012975;283;0;0;0;0;5.19;154.81
44.979120;6.013050;283;0;0;0;0;5.22;154.78
44.979000;6.013125;283;0;0;0;0;5.25;154.75
44.978880;6.013200;283;0;0;0;0;5.28;154.72
44.978760;6.013275;283;0;0;0;0;5.31;154.69
44.978640;6.013350;284;0;0;0;0;5.34;154.66
44.978520;6.013425;284;0;0;0;0;5.37;154.63
44.978400;6.013500;284;0;0;0;0;5.40;154.60
44.978280;6.013575;284;0;0;0;0;5.43;154.57
44.978160;6.013650;284;0;0;0;0;5.46;154.54
44.978040;6.013725;284;0;0;0;0;5.49;154.51
44.977920;6.013800;285;0;0;0;0;5.52;154.48
44.977800;6.013875;285;0;0;0;0;5.55;154.45
44.977680;6.013950;285;0;0;0;0;5.58;154.42
44.977560;6.014025;285;0;0;0;0;5.61;154.39
44.977440;6.014100;285;0;0;0;0;5.64;154.36
44.977320;6.014175;285;0;0;0;0;5.67;154.33
44.977200;6.014250;286;0;0;0;0;5.70;154.30
44.977080;6.014325;286;0;0;0;0;5.73;154.27
44.976960;6.014400;286;0;0;0;0;5.76;154.24
44.976840;6.014475;286;0;0;0;0;5.79;154.21
44.976720;6.014550;286;0;0;0;0;5.82;154.18
44.976600;6.014625;286;0;0;0;0;5.85;154.15
44.976480;6.014700;286;0;0;0;0;5.88;154.12
44.976360;6.014775;287;0;0;0;0;5.91;154.09
44.976240;6.014850;287;0;0;0;0;5.94;154.06
44.976120;6.014925;287;0;0;0;0;5.97;154.03
44.976000;6.015000;287;0;0;0;0;6.00;154.00
44.975880;6.015075;287;0;0;0;0;6.03;153.97
44.975760;6.015150;287;0;0;0;0;6.06;153.94
44.975640;6.015225;288;0;0;0;0;6.09;153.91
44.975520;6.015300;288;0;0;0;0;6.12;153.88
44.975400;6.015375;288;0;0;0;0;6.15;153.85
44.975280;6.015450;288;0;0;0;0;6.18;153.82
44.975160;6.015525;288;0;0;0;0;6.21;153.79
44.975040;6.015600;288;0;0;0;0;6.24;153.76
44.974920;6.015675;288;0;0;0;0;6.27;153.73
44.974800;6.015750;289;0;0;0;0;6.30;153.70
44.974680;6.015825;289;0;0;0;0;6.33;153.67
44.974560;6.015900;289;0;0;0;0;6.36;153.64
44.974440;6.015975;289;0;0;0;0;6.39;153.61
44.974320;6.016050;289;0;0;0;0;6.42;153.58
44.974200;6.016125;289;0;0;0;0;6.45;153.55
44.974080;6.016200;290;0;0;0;0;6.48;153.52
44.973960;6.016275;290;0;0;0;0;6.51;153.49
44.973840;6.016350;290;0;0;0;0;6.54;153.46
44.973720;6.016425;290;0;0;0;0;6.57;153.43
44.973600;6.016500;290;0;0;0;0;6.60;153.40
44.973480;6.016575;290;0;0;0;0;6.63;153.37
44.973360;6.016650;290;0;0;0;0;6.66;153.34
44.973240;6.016725;291;0;0;0;0;6.69;153.31
44.973120;6.016800;291;0;0;0;0;6.72;153.28
44.973000;6.016875;291;0;0;0;0;6.75;153.25
44.972880;6.016950;291;0;0;0;0;6.78;153.22
44.972760;6.017025;291;0;0;0;0;6.81;153.19
44.972640;6.017100;291;0;0;0;0;6.84;153.16
44.972520;6.017175;291;0;0;0;0;6.87;153.13
44.972400;6.017250;292;0;0;0;0;6.90;153.10
44.972280;6.017325;292;0;0;0;0;6.93;153.07
44.972160;6.017400;292;0;0;0;0;6.96;153.04
44.972040;6.017475;292;0;0;0;0;6.99;153.01
44.971920;6.017550;292;0;0;0;0;7.02;152.98
44.971800;6.017625;292;0;0;0;0;7.05;152.95
44.971680;6.017700;292;0;0;0;0;7.08;152.92
44.971560;6.017775;293;0;0;0;0;7.11;152.89
44.971440;6.017850;293;0;0;0;0;7.14;152.86
44.971320;6.017925;293;0;0;0;0;7.17;152.83
44.971200;6.018000;293;0;0;0;0;7.20;152.80
44.971080;6.018075;293;0;0;0;0;7.23;152.77
44.970960;6.018150;293;0;0;0;0;7.26;152.74
44.970840;6.018225;293;0;0;0;0;7.29;152.71
44.970720;6.018300;294;0;0;0;0;7.32;152.68
44.970600;6.018375;294;0;0;0;0;7.35;152.65
44.970480;6.018450;294;0;0;0;0;7.38;152.62
44.970360;6.018525;294;0;0;0;0;7.41;152.59
44.970240;6.018600;294;0;0;0;0;7.44;152.56
44.970120;6.018675;294;0;0;0;0;7.47;152.53
44.970000;6.018750;294;0;0;0;0;7.50;152.50
44.969880;6.018825;295;0;0;0;0;7.53;152.47
44.969760;6.018900;295;0;0;0;0;7.56;152.44
44.969640;6.018975;295;0;0;0;0;7.59;152.41
44.969520;6.019050;295;0;0;0;0;7.62;152.38
44.969400;6.019125;295;0;0;0;0;7.65;152.35
44.969280;6.019200;295;0;0;0;0;7.68;152.32
44.969160;6.019275;295;0;0;0;0;7.71;152.29
44.969040;6.019350;295;0;0;0;0;7.74;152.26
44.968920;6.019425;296;0;0;0;0;7.77;152.23
44.968800;6.019500;296;0;0;0;0;7.80;152.20
44.968680;6.019575;296;0;0;0;0;7.83;152.17
44.968560;6.019650;296;0;0;0;0;7.86;152.14
44.968440;6.019725;296;0;0;0;0;7.89;152.11
44.968320;6.019800;296;0;0;0;0;7.92;152.08
44.968200;6.019875;296;0;0;0;0;7.95;152.05
44.968080;6.019950;296;0;0;0;0;7.98;152.02
44.967960;6.020025;297;0;0;0;0;8.01;151.99
44.967840;6.020100;297;0;0;0;0;8.04;151.96
44.967720;6.020175;297;0;0;0;0;8.07;151.93
44.967600;6.020250;297;0;0;0;0;8.10;151.90
44.967480;6.020325;297;0;0;0;0;8.13;151.87
44.967360;6.020400;297;0;0;0;0;8.16;151.84
44.967240;6.020475;297;0;0;0;0;8.19;151.81
44.967120;6.020550;297;0;0;0;0;8.22;151.78
44.967000;6.020625;298;0;0;0;0;8.25;151.75
44.966880;6.020700;298;0;0;0;0;8.28;151.72
44.966760;6.020775;298;0;0;0;0;8.31;151.69
44.966640;6.020850;298;0;0;0;0;8.34;151.66
44.966520;6.020925;298;0;0;0;0;8.37;151.63
44.966400;6.021000;298;0;0;0;0;8.40;151.60
44.966280;6.021075;298;0;0;0;0;8.43;151.57
44.966160;6.021150;298;0;0;0;0;8.46;151.54
44.966040;6.021225;299;0;0;0;0;8.49;151.51
44.965920;6.021300;299;0;0;0;0;8.52;151.48
44.965800;6.021375;299;0;0;0;0;8.55;151.45
44.965680;6.021450;299;0;0;0;0;8.58;151.42
44.965560;6.021525;299;0;0;0;0;8.61;151.39
44.965440;6.021600;299;0;0;0;0;8.64;151.36
44.965320;6.021675;299;0;0;0;0;8.67;151.33
44.965200;6.021750;299;0;0;0;0;8.70;151.30
44.965080;6.021825;299;0;0;0;0;8.73;151.27
44.964960;6.021900;300;0;0;0;0;8.76;151.24
44.964840;6.021975;300;0;0;0;0;8.79;151.21
44.964720;6.022050;300;0;0;0;0;8.82;151.18
44.964600;6.022125;300;0;0;0;0;8.85;151.15
44.964480;6.022200;300;0;0;0;0;8.88;151.12
44.964360;6.022275;300;0;0;0;0;8.91;151.09
44.964240;6.022350;300;0;0;0;0;8.94;151.06
44.964120;6.022425;300;0;0;0;0;8.97;151.03
44.964000;6.022500;300;0;0;0;0;9.00;151.00
44.963880;6.022575;301;0;0;0;0;9.03;150.97
44.963760;6.022650;301;0;0;0;0;9.06;150.94
44.963640;6.022725;301;0;0;0;0;9.09;150.91
44.963520;6.022800;301;0;0;0;0;9.12;150.88
44.963400;6.022875;301;0;0;0;0;9.15;150.85
44.963280;6.022950;301;0;0;0;0;9.18;150.82
44.963160;6.023025;301;0;0;0;0;9.21;150.79
44.963040;6.023100;301;0;0;0;0;9.24;150.76
44.962920;6.023175;301;0;0;0;0;9.27;150.73
44.962800;6.023250;302;0;0;0;0;9.30;150.70
